,Anno,Età,Obiettivo Prelievo (Nom.),Prelievo Effettivo (Nom.),Prelievo Effettivo (Reale),Fonte: Conto Corrente,Fonte: Vendita ETF,Vendita ETF (Rebalance),Pensione Pubblica (Nom.),Rendita FP (Nom.),Liquidazione FP (Nom.),Patrimonio Banca (Nom.),Patrimonio ETF (Nom.),Patrimonio FP (Nom.),Patrimonio Banca (Reale),Patrimonio ETF (Reale),Patrimonio FP (Reale),Variazione Netta Patrimonio %,Rendimento Portafoglio %
50,51,78,42851.24355152493,42851.24355152493,11848.69398788992,42851.24355152493,0,10833.13402026803,30379.600053179827,2802.603793920343,0,640160.2221686266,71221.12648948666,0,175459.5722242189,19520.782382946298,0,0.0005988336141706733,0.0017661585940272572
51,52,79,43816.63713110457,43816.63713110457,11887.535289382817,43816.63713110457,0,5518.166034146838,30963.16555024398,2856.4393570353936,0,635159.1671515905,70627.48399766098,0,170023.36483868063,18906.00514076564,0,-0.00786455467157681,-0.008335202222802702
52,53,80,45000.28344903581,45000.28344903581,11910.541169975117,45000.28344903581,0,0,31738.9678569909,2928.009308068818,0,623356.7484709213,69261.86094121348,0,161613.10759066776,17957.01195451864,0,-0.01865725529899847,-0.019335575602448526
53,54,81,46294.994815730366,46294.994815730366,11828.816046129943,46294.994815730366,0,11465.390162197364,32877.9481516021,3033.083452866315,0,623194.2311319053,69378.24171353961,0,157162.5983944081,17496.414753279907,0,-0.0000666117919196234,0.001680300972925144
54,55,82,47408.75311327126,47408.75311327126,11932.42557510726,47408.75311327126,0,5793.430128071923,33374.1137502263,3078.8561288292217,0,617325.422073272,68666.43089175122,0,154356.94632300874,17169.454243037137,0,-0.009501705797495949,-0.010259856753467867
55,56,83,48004.94669225624,48004.94669225624,11828.160658216158,48004.94669225624,0,78808.29029486238,34094.302019552946,3145.2955280450956,0,669870.5405359749,76148.26258038628,0,162102.95784884394,18427.230117411233,0,0.08750388199493456,0.1089590880357498
56,57,84,49431.43570960228,49431.43570960228,11892.02975168965,49431.43570960228,0,0,34916.62976056102,3221.157581619233,0,630305.3789863348,70033.93099848165,0,150266.08988915736,16696.232209906375,0,-0.061231021176311774,-0.08029508979866747
57,58,85,50227.41185232827,50227.41185232827,11897.987657832105,50227.41185232827,0,10710.910588708488,35462.04936900811,3271.474078914672,0,628323.5237947853,69943.15568562638,0,146600.73217983448,16319.169100264204,0,-0.0029594661828276185,-0.001296161896970202
58,59,86,51513.16852693969,51513.16852693969,11821.69460121987,51513.16852693969,0,0,36604.71737906271,3376.8884258634303,0,608390.0653385103,67598.89614872336,0,137221.51859537823,15246.835399486468,0,-0.031904311988300876,-0.03351663953281954
59,60,87,53319.295130735794,53319.295130735794,11957.832437653648,53319.295130735794,0,3022.03904524885,37455.744750540805,3455.3981012989025,0,598738.2122729095,66552.21690054034,0,133194.7854938879,14805.148681857818,0,-0.015826489666704316,-0.015483673666508338
